DEPARTED OR LANDED PLANES SORTED BY APPROVAL TIME

ID	STATUS	REQUEST	RUNWAY	TURNAROUND
2	L	0	0	0
4	L	0	2	2
1	D	0	4	4
3	D	0	6	6
6	L	4	8	4
5	D	1	10	9
7	D	2	12	10
8	L	5	14	9
9	D	3	16	13
11	D	4	18	14
10	L	9	20	11
13	D	5	22	17
15	D	6	24	18
12	L	13	26	13
17	D	8	28	20
19	D	9	30	21
14	L	14	32	18
21	D	10	34	24
23	D	12	36	24
16	L	16	38	22
25	D	13	40	27
28	E	40	42	2
27	D	14	44	30
29	D	16	46	30
18	L	21	48	27
31	D	17	50	33
33	D	18	52	34
20	L	30	54	24
35	D	21	56	35
37	D	22	58	36
22	L	34	60	26
39	D	23	62	39
41	D	24	64	40
24	L	35	66	31
43	D	25	68	43
45	D	27	70	43
26	L	36	72	36
47	D	29	74	45
49	D	30	76	46
30	L	42	78	36
51	D	34	80	46
56	E	80	82	2
53	D	35	84	49
55	D	36	86	50
32	L	43	88	45
57	D	39	90	51
59	D	41	92	51
34	L	57	94	37
61	D	42	96	54
63	D	43	98	55
36	L	59	100	41
65	D	44	102	58
67	D	45	104	59
38	L	61	106	45
69	D	47	108	61
71	D	49	110	61
40	L	64	112	48
73	D	50	114	64
75	D	54	116	62
42	L	65	118	53
77	D	55	120	65
76	E	120	122	2
79	D	56	124	68
81	D	57	126	69
44	L	68	128	60
83	D	59	130	71
85	D	61	132	71
46	L	72	134	62
87	D	63	136	73
89	D	64	138	74
48	L	73	140	67
91	D	65	142	77
93	D	67	144	77
50	L	74	146	72
95	D	68	148	80
97	D	72	150	78
52	L	77	152	75
99	D	73	154	81
101	D	74	156	82
54	L	78	158	80
103	D	75	160	85
100	E	160	162	2
105	D	76	164	88
107	D	77	166	89
58	L	84	168	84
109	D	78	170	92
111	D	79	172	93
60	L	88	174	86
113	D	81	176	95
115	D	82	178	96
62	L	92	180	88
117	D	83	182	99
119	D	84	184	100
64	L	100	186	86
121	D	87	188	101
123	D	88	190	102
66	L	103	192	89
125	D	90	194	104
127	D	92	196	104
68	L	105	198	93
129	D	93	200	107
120	E	200	202	2
131	D	94	204	110
133	D	95	206	111
70	L	110	208	98
135	D	97	210	113
137	D	100	212	112
72	L	111	214	103
139	D	103	216	113
141	D	105	218	113
74	L	118	220	102
143	D	107	222	115
145	D	108	224	116
78	L	125	226	101
147	D	110	228	118
149	D	111	230	119
80	L	130	232	102
151	D	112	234	122
153	D	113	236	123
82	L	133	238	105
155	D	114	240	126
146	E	240	242	2
157	D	115	244	129
159	D	116	246	130
84	L	136	248	112
161	D	117	250	133
163	D	118	252	134
86	L	138	254	116
165	D	119	256	137
167	D	120	258	138
88	L	141	260	119
169	D	122	262	140
171	D	123	264	141
90	L	148	266	118
173	D	124	268	144
175	D	125	270	145
92	L	150	272	122
177	D	127	274	147
179	D	128	276	148
94	L	154	278	124
181	D	130	280	150
170	E	280	282	2
183	D	131	284	153
185	D	132	286	154
96	L	155	288	133
187	D	133	290	157
189	D	134	292	158
98	L	157	294	137
191	D	135	296	161
193	D	136	298	162
