LOG OF ALL PLANES SORTED BY ARRIVAL TIME

ID	STATUS	REQUEST
2	L	0
1	D	0
3	D	0
4	L	0
6	L	1
5	D	1
8	L	3
7	D	3
10	L	4
9	D	4
11	D	5
12	L	5
14	L	8
13	D	8
16	L	9
15	D	9
18	L	10
17	D	10
20	L	12
19	D	12
22	L	13
21	D	13
24	L	14
23	D	14
26	L	16
25	D	16
28	L	21
27	D	21
30	L	22
29	D	22
32	L	30
31	D	30
34	L	34
33	D	34
36	L	35
35	D	35
38	L	36
37	D	36
40	E	40
42	L	41
39	D	41
44	L	42
41	D	42
46	L	43
43	D	43
48	L	44
45	D	44
50	L	45
47	D	45
52	L	50
49	D	50
54	L	54
51	D	54
56	L	55
53	D	55
58	L	56
55	D	56
60	L	57
57	D	57
62	L	59
59	D	59
